,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,Free (),"CD (year3, AIML)",Free (),Free (),Lunch Break,Free (),Free (),Free ()
Tuesday,"CD (year3, AIML)",Free (),Free (),Free (),Lunch Break,Free (),"CD (year3, AIML)",Free ()
Wednesday,Free (),Free (),Free (),Free (),Lunch Break,"CD (year3, AIML)",Free (),"CD (year3, AIML)"
Thursday,"CD LAB (year3, AIML)","CD LAB (year3, AIML)","CD LAB (year3, AIML)",Free (),Lunch Break,Free (),Free (),Free ()
Friday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
Saturday,Free (),Free (),Free (),Free (),Lunch Break,"CD LAB (year3, AIML)","CD LAB (year3, AIML)","CD LAB (year3, AIML)"
