,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,Free (),Free (),Free (),Free (),Lunch Break,"DWDM LAB (year3, CSE_B)","DWDM LAB (year3, CSE_B)","DWDM LAB (year3, CSE_B)"
Tuesday,Free (),"DWDM LAB (year3, CSE_A)","DWDM LAB (year3, CSE_A)","DWDM LAB (year3, CSE_A)",Lunch Break,"DWDM (year3, CSE_B)",Free (),Free ()
Wednesday,Free (),Free (),Free (),"DWDM (year3, CSE_A)",Lunch Break,"DWDM (year3, CSE_B)",Free (),"DWDM (year3, CSE_B)"
Thursday,"DWDM LAB (year3, CSE_A)","DWDM LAB (year3, CSE_A)","DWDM LAB (year3, CSE_A)","DWDM (year3, CSE_B)",Lunch Break,"DWDM LAB (year3, CSE_B)","DWDM LAB (year3, CSE_B)","DWDM LAB (year3, CSE_B)"
Friday,Free (),"DWDM (year3, CSE_A)",Free (),"DWDM (year3, CSE_A)",Lunch Break,Free (),Free (),Free ()
Saturday,"DWDM (year3, CSE_A)","DWDM (year3, CSE_B)","DWDM (year3, CSE_A)",Free (),Lunch Break,Free (),Free (),Free ()
