,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,"SOC LAB (year3, DS)","SOC LAB (year3, DS)","SOC LAB (year3, DS)",Free (),Lunch Break,Free (),"OPEN_ELECTIVE (year3, DS)",Free ()
Tuesday,Free (),Free (),"OPEN_ELECTIVE (year3, DS)",Free (),Lunch Break,Free (),Free (),Free ()
Wednesday,"SOC LAB (year3, DS)","SOC LAB (year3, DS)","SOC LAB (year3, DS)",Free (),Lunch Break,Free (),"OPEN_ELECTIVE (year3, DS)",Free ()
Thursday,Free (),"OPEN_ELECTIVE (year3, DS)",Free (),Free (),Lunch Break,Free (),Free (),Free ()
Friday,Free (),Free (),"OPEN_ELECTIVE (year3, DS)",Free (),Lunch Break,Free (),Free (),Free ()
Saturday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
