,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,"SOC LAB (year3, CSE_A)","SOC LAB (year3, CSE_A)","SOC LAB (year3, CSE_A)","DLT (year4, CSE_B)",Lunch Break,"DLT (year4, CSE_A)",Free (),"DLT (year4, CSE_B)"
Tuesday,"SOC LAB (year3, CSE_B)","SOC LAB (year3, CSE_B)","SOC LAB (year3, CSE_B)","DLT (year4, CSE_A)",Lunch Break,Free (),Free (),Free ()
Wednesday,"SOC LAB (year3, CSE_B)","SOC LAB (year3, CSE_B)","SOC LAB (year3, CSE_B)","DLT (year4, CSE_B)",Lunch Break,"SOC LAB (year3, CSE_A)","SOC LAB (year3, CSE_A)","SOC LAB (year3, CSE_A)"
Thursday,"SO&MS LAB (year4, CSE_A)","SO&MS LAB (year4, CSE_A)","SO&MS LAB (year4, CSE_A)","DLT (year4, CSE_B)",Lunch Break,"DLT (year4, CSE_A)","DLT (year4, CSE_B)","DLT (year4, CSE_A)"
Friday,Free (),Free (),Free (),Free (),Lunch Break,"DLT (year4, CSE_A)",Free (),Free ()
Saturday,"SO&MS LAB (year4, CSE_A)","SO&MS LAB (year4, CSE_A)","SO&MS LAB (year4, CSE_A)",Free (),Lunch Break,"SO&MS LAB (year4, CSE_B)","SO&MS LAB (year4, CSE_B)","SO&MS LAB (year4, CSE_B)"
