,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,"SE LAB (year3, DS)","SE LAB (year3, DS)","SE LAB (year3, DS)","SE (year3, AIML)",Lunch Break,"SE LAB (year3, AIML)","SE LAB (year3, AIML)","SE LAB (year3, AIML)"
Tuesday,"SE (year3, DS)","SE LAB (year3, AIML)","SE LAB (year3, AIML)","SE LAB (year3, AIML)",Lunch Break,Free (),Free (),Free ()
Wednesday,Free (),"SE LAB (year3, DS)","SE LAB (year3, DS)","SE LAB (year3, DS)",Lunch Break,"SE (year3, DS)",Free (),Free ()
Thursday,"SE (year3, DS)",Free (),Free (),"SE (year3, AIML)",Lunch Break,Free (),"SE (year3, AIML)",Free ()
Friday,Free (),Free (),Free (),Free (),Lunch Break,"SE (year3, DS)",Free (),"SE (year3, AIML)"
Saturday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
