,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,Free (),Free (),Free (),Free (),Lunch Break,"ES LAB (year3, CSE_B)","ES LAB (year3, CSE_B)","ES LAB (year3, CSE_B)"
Tuesday,Free (),"ES LAB (year3, CSE_A)","ES LAB (year3, CSE_A)","ES LAB (year3, CSE_A)",Lunch Break,Free (),Free (),Free ()
Wednesday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
Thursday,"ES LAB (year3, CSE_A)","ES LAB (year3, CSE_A)","ES LAB (year3, CSE_A)",Free (),Lunch Break,Free (),Free (),Free ()
Friday,Free (),Free (),Free (),Free (),Lunch Break,"ES LAB (year3, CSE_B)","ES LAB (year3, CSE_B)","ES LAB (year3, CSE_B)"
Saturday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
