,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,"CN LAB (year3, CSE_A)","CN LAB (year3, CSE_A)","CN LAB (year3, CSE_A)","CN (year3, CSE_B)",Lunch Break,Free (),Free (),"CN (year3, CSE_A)"
Tuesday,"CN LAB (year3, CSE_B)","CN LAB (year3, CSE_B)","CN LAB (year3, CSE_B)",Free (),Lunch Break,Free (),Free (),"CN (year3, CSE_B)"
Wednesday,"CN LAB (year3, CSE_B)","CN LAB (year3, CSE_B)","CN LAB (year3, CSE_B)",Free (),Lunch Break,"CN LAB (year3, CSE_A)","CN LAB (year3, CSE_A)","CN LAB (year3, CSE_A)"
Thursday,Free (),Free (),"CN (year3, CSE_B)","CN (year3, CSE_A)",Lunch Break,"CN (year3, CSE_A)",Free (),Free ()
Friday,"CN (year3, CSE_A)",Free (),"CN (year3, CSE_A)",Free (),Lunch Break,Free (),Free (),Free ()
Saturday,"CN (year3, CSE_B)",Free (),Free (),"CN (year3, CSE_B)",Lunch Break,Free (),Free (),Free ()
