,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
Tuesday,Free (),Free (),Free (),Free (),Lunch Break,"ES LAB (year3, DS)","ES LAB (year3, DS)","ES LAB (year3, DS)"
Wednesday,Free (),"ES LAB (year3, AIML)","ES LAB (year3, AIML)","ES LAB (year3, AIML)",Lunch Break,Free (),Free (),Free ()
Thursday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
Friday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
Saturday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
