,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,Free (),Free (),"OS (year3, AIML)",Free (),Lunch Break,Free (),Free (),"OS (year3, DS)"
Tuesday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),"OS (year3, AIML)"
Wednesday,Free (),Free (),Free (),Free (),Lunch Break,Free (),Free (),Free ()
Thursday,Free (),Free (),"OS (year3, DS)",Free (),Lunch Break,"OS LAB (year3, DS)","OS LAB (year3, DS)","OS LAB (year3, DS)"
Friday,"OS (year3, DS)","OS LAB (year3, AIML)","OS LAB (year3, AIML)","OS LAB (year3, AIML)",Lunch Break,Free (),"OS (year3, AIML)","OS (year3, DS)"
Saturday,"OS (year3, AIML)",Free (),"OS (year3, AIML)","OS (year3, DS)",Lunch Break,Free (),Free (),Free ()
