,09:00 - 10:00,10:00 - 10:50,11:10 - 12:00,12:00 - 12:50,Lunch Break,01:30 - 02:20,02:20 - 03:10,03:10 - 04:00
Monday,Free (),Free (),Free (),Free (),Lunch Break,"ML LAB (year3, AIML)","ML LAB (year3, AIML)","ML LAB (year3, AIML)"
Tuesday,Free (),"ML (year3, DS)",Free (),"ML (year3, DS)",Lunch Break,"ML LAB (year3, DS)","ML LAB (year3, DS)","ML LAB (year3, DS)"
Wednesday,"ML (year3, AIML)",Free (),Free (),Free (),Lunch Break,Free (),"ML (year3, AIML)","ML (year3, DS)"
Thursday,Free (),Free (),Free (),"ML (year3, DS)",Lunch Break,"ML LAB (year3, DS)","ML LAB (year3, DS)","ML LAB (year3, DS)"
Friday,"ML (year3, AIML)","ML LAB (year3, AIML)","ML LAB (year3, AIML)","ML LAB (year3, AIML)",Lunch Break,"ML (year3, AIML)","ML (year3, DS)",Free ()
Saturday,Free (),"ML (year3, AIML)",Free (),Free (),Lunch Break,Free (),Free (),Free ()
